original_text,translated_text,experience
फोन पोलेरिस आफिस एप सहित अन्य एप्लीकेशन्स आपको रोजमर्रा कामकाज मददगार साबित होंगे ।,Other applications including Phone Polaris Office App will prove to be helpful to you everyday.,positive
बातें एवेंजर्स एज ऑफ अल्ट्रॉन देखने मिलती ।,Things would have seen Avengers Edge of Ultron.,neutral
फोन माइक्रो एसडी कार्ड अलावा सिम कार्ड डाले ।,Insert the phone micro SD card in addition to SIM card.,neutral
13 मेगा पिक्सल कैमरा डिवाईस हिरो ।,13 mega pixel camera device hero.,positive
टेबलेट फ़्लैश कारण बनता ।,Tablet flash causes.,negative
"अलावे आने नोटिफिकेशंस केवल देख , उसका जवाब दे ।","Apart from coming, notifications, only see, answer it.",neutral
"थोड़े छोटे ज़रूर , इतने छोटे इनसे परेशानी ।","Slightly small, so small problems with them.",neutral
चारमीनार आंध्र प्रदेश राजधानी हैदराबाद प्रसिद्ध महत्वपूर्ण स्मारक ।,Charminar Andhra Pradesh capital Hyderabad famous important monument.,positive
अच्छी सेल्फी वीडियो कॉलिंग सकती ।,A good selfie video can call.,positive
मिलाकर जी3 स्टाइलस परफॉर्मेंस अच्छा ।,The G3 stylus performance by mixing good.,negative
"अहम् बात डिज़ाइन लुक्स मामले लेनोवो जेड580 कहीं आगे , निश्चित रूप बेहतर चुनाव ।","Aham Baat Design Looks Case Lenovo Z 580 somewhere ahead, of course better choice.",positive
"कमी स्किन हर पसंद आ , कैमरा साधारण एंड्रायड 41 जेली बीन ऑपरेटिंग सिस्टम काम ।","Reduction skin every choice, camera simple Android 41 jelly bean operating system work.",negative
कश्मीर पर्यटन बढ़ावा देने फेस्टिवल बड़ा योगदान देता ।,Kashmir Tourism Promotion Festival would contribute a big contribution.,positive
मानसून मौसम द वैली ऑफ फ्लावर नेशनल पार्क परिदृश्य आश्चर्यजनक तरीके सजीव जाता ।,The monsoon season The Valley of Flower National Park landscape is surprising ways.,positive
अलावा वाय फाय तथा वन टच तकनीक दी जिससे स्मार्टफोन अथवा टेबलेट् कनेक्ट ।,"Apart from this, it was given to a smartphone or tablet technology.",positive
टैबलेट एंड्रॉयड 44 kitkat आता |,Tablet comes to Android 44 Kitkat |,neutral
मतलब केबल माध्यम कंप्यूटर गाने यां क्लिप्स ट्रांसफर ।,Meaning cable medium computer songs or clips transfer.,negative
इलेक्ट्रोनिक कंट्रोल पैनल मौजूद ।,Electronic control panels are present.,neutral
एप्पल नए 15 इंच लैपटॉप 16 gb इंटरनल मेमोरी 22 ghz क्वाड कोर इंटेल कोर प्रोसेसर ।,Apple new 15 inch laptop 16 GB internal memory 22 ghz quad core intel core processor.,neutral
मोटा भारी बावजूद स्मार्टफोन अच्छे लुक्स बेहतर डिजायन वाला ।,"Despite the thick heavy, smartphone with good looks better designed.",positive
"101इंच डिस्प्ले रेजोल्यूशन 1920 x 1200 पिक्सेल , 224 पीपीआई पिक्सेल डेंसिटी देता ।","101 inch display resolution 1920 x 1200 pixels, 224 PPI pixel density.",neutral
इन किट तहत फिल्ममेकर एनिमेटर हिसाब फोटो मूवी एडिटिंग सकत ।,"Under these kits, filmmaker animator was a photo movie editing.",neutral
"यहां इनवेन्ट इट , बिल्ड इट , क्रिएट इट , लिव इट , डिस्कवर इट , एक्सप्लोर इट , स्प्लैश इट अलग अलग प्ले एरियाज ।","Here Invent It, Build It, Create It, Live It, Discover It, Explore It, Splash It different play areas.",neutral
लंबा घुमावदार हस्ताक्षर वालों यहां हस्ताक्षर ड्रॉ परेशानी भरा ।,Long curved signatures have a signal draw here.,negative
हिमाचल प्रदेश प्रसिद्ध पर्यटन स्थलों दर्रे लाहोल स्पीति जिलों प्रवेश द्वार जाता ।,"Himachal Pradesh, the famous tourist destinations Pass Lahol Spiti districts, would go to entrance.",neutral
फिल्म भावभूमि नई अपरिचित ।,Film Bhabhumi new unfamiliar.,positive
चारमीनार भव्य सुंदरता कारण बड़ी संख्या पर्यटकों ओर खींचता ।,Charminar would draw a large number of tourists due to grand beauty.,positive
गैलेक्सी नोट 800 लॉक स्क्रीन सिंपल अच्छा ।,Galaxy Note 800 Lock Screen Simple Good.,positive
हैदर खोज नरेंद्र झा ।,Hyder Search Narendra Jha.,neutral
"अन्दर लगी 3120 एमएएच बैटरी , पूरे डेढ़ दिन चलती ।","3120 mAh battery inside, the entire day and a half.",neutral
"बैद्यनाथ धाम , बाबा धाम अन्य नामों जाना जाने वाला झारखंड जिला शहर देवघर पवित्र हिंदू तीर्थो ।","Baidyanath Dham, Baba Dham, other names, Jharkhand District City Deoghar Holy Hindu pilgrimage.",positive
प्लास्टिक बना बैक पैनल दिखने काफी प्रीमियम लगता याद दिलाता सैमसंग galaxy note 4 ।,Plastic made back panels look quite premium. Samsung Galaxy Note 4.,positive
"कनेक्टिवीटि 3जी , सिम , वाइ फाइ , ब्लू टूथ विकल्प ।","Connectivity 3G, SIM, Wi -Fi, Bluetooth option.",neutral
खूबी चलते फेबलेट रूप काम लिया ।,Well done a phablet form.,positive
आपको यहा आने जाने मन करेगा ।,You will feel like going here.,positive
"जेम्स वान , सॉ डायरेक्टर ।","James Van, Saw Director.",neutral
आपके आइफोन सीधे कनेक्ट जाएगी ।,Your iPhone will connect directly.,neutral
आजादी यहां अरूणाचल प्रदेश प्रशासनिक केन्द्र स्थापना गई ।,Independence went to establish Arunachal Pradesh Administrative Center here.,neutral
बेंचमार्क स्कोर्स आशाजनक क्योंकि स्मार्टफोन प्रतियोगिता दूर देता ।,The benchmark scores are promising because the smartphone competition would have given away.,positive
"इंडोर डायमेंशन 470 mm चौड़ाई , 355 mm हाइट 495 mm गहराई ।","Indoor dimensions 470 mm width, 355 mm height 495 mm depth.",neutral
फोन सिर्फ फोन आकार देखते आसानी फॅब्लेट कहलाने पात्र ।,The phone is just a phone size to be called a fablet.,neutral
बैट्री चार्ज ज्यादा समय लेती ।,The battery charge would take more time.,negative
अधिकांश यूआर्इ पूर्ववर्तियों समान तथा हर चीज ठीक काम करती ।,Most of the UI predecessors used to do the same and everything.,neutral
"एन्वी डीवी6 वज़न 24 किलोग्राम , 15इंच बड़े डिस्प्ले वाली मशीन वज़न ज्यादा ।","Envi DV6 weighing 24 kg, 15 inch large display machine weight.",neutral
"टैबलेट सात इंच स्क्रीन , एंड्रायड 41 जैली बीन आपरेटिंग सिस्टम ।","Tablet seven inch screen, Android 41 jelly bean operating system.",neutral
19 अथवा 16 गीगीहर्टज़ प्रोसेसर ।,19 or 16 Gighartz processor.,neutral
माइक्रोसॉफ्ट सरफेस 3 108 इंच क्लियरटाइप फुल hd प्लस डिस्प्ले स्क्रीन ।,Microsoft Surface 3 108 inch Cleartype Full HD Plus display screen.,neutral
"जरूर , 1जीबी रैम कारण अच्छा , प्रोसेसर ग्राफिक्स कमियों बेकार ।","Sure, 1 GB RAM causes good, processor graphics deficiencies useless.",negative
टेक्स्ट मैसेज क्विक रिप्लाई दे ।,Text message Quick Reply.,neutral
सिम सपोर्ट ।,Sim support.,neutral
"कमी , सिर्फ 16 जीबी आतंरिक स्टोरेज ।","Decreased, only 16 GB internal storage.",negative
"जेड1 कॉम्पैक्ट तुलना , थोड़ा सुधार खास तौर शॉट लेने टाइम मामले , कैमरा एप्प खुलने मामले ।","Z1 compact comparison, little improvement especially shot time case, camera app opening case.",positive
बैजू मंदिर नाम जाना जाता ।,Baiju Temple is known.,neutral
अब 360कैम नाम छोटा सा पावरफुल कैमरा आ चुका पहली नजर आपका मन मोह ।,"Now 360 cam name small powerful camera has come first, your mind is fascinated.",positive
अगर मौसम गोवा जाने प्लान बना वहां वाइब्रेंट मानसून फेस्टिवल मजा ले ।,"If the weather makes a plan to go to Goa, enjoy the Vibrant Monsoon Festival there.",positive
जी3 एलजी हाइली कस्टमाइज्ड यूआई जी3 स्टाइलस फैबलेट प्रयोग उपयोग बेहद आसान ।,G3 LG Hilli Customized UI G3 G3 Styles Fablet Uses Using Extremely easy.,positive
चांदी दरवाजे वाली दरगाह निर्माण चरणों जहां संत मूल कब्र संगमरमर ।,Dargah construction stages with silver door where saint original tomb marble.,neutral
टेबलेट स्पीकर आवाज़ साधारण ।,Tablet speaker voice simple.,neutral
इन बातों बोर इतने इन कारों ड्रोन मिसाइले दागी जाती ।,"These things were so bore, so many cars drone missiles were fired.",neutral
हालिया रिलीज फिल्म सैन एंड्रियास ऐसी फिल्म ।,Recent release film San Andreas Aisi film.,neutral
कार्बन karbonn अच्छा स्थापित ब्रांड तुलना तमाम नये प्रवेशकों जिनसे टैबलेट प्रतिस्पर्धा करती अच्छी स्थापित सेल एंड सर्विस नेटवर्क जुड़ा ।,Carbon karbonn good installed brand comparison all new penetrations that include good installed cell and service networks competing with tablets.,neutral
asus chromebox कंप्यूटर�आप वायरलैस तकनीक क तहत महज क्लिक कॉन्फ्रेंस समेत तथा डॉक्यूमेंट्स शेयर ।,Asus Chromebox Computers Share and Documents Share under Wirecast Technology.,positive
दुःख बात फोन एंड्रॉयड जिंजरब्रेड ऑपरेटिंग सिस्टम पुराना वर्जन एंड्रॉयड 231 लगा ।,Sad talk phone Android gingerbread operating system old version Android 231.,negative
वेलकम 2 कराची उसका नमूना ।,Welcome 2 Karachi its sample.,negative
मोटो 360 साधारण घड़ियों दिखता ।,Moto 360 simple watches.,neutral
हमारे हिसाब कीमत अन्य विकल्पों जांच खरीदने मन बनाएं बेहतर होगा ।,"According to us, it would be better to make up your mind to buy price checks.",negative
"अगर आपको बड़ा , अच्छा दिखनेवाला डिस्प्ले चाहिए पॅनासोनिक पी81के बारे सोच ।","If you want a big, good looking display, think of Panosonic P81.",positive
"बार मैंने कमिटमेंट दी , सुनता पर्दे सलमान खान बोले पॉपुलर संवाद तनु वेड्स मनु रिटर्न्स तवेमरि मनोज शर्मा उर्फ मनु अंदाज फेरबदल बोलते पप्पू टोकता क्या सलमान खान","Bar I gave the commitment, listening to the curtain Salman Khan said the popular dialogue Tanu Weds Manu Returns Tavmari Manoj Sharma aka Manu Andaz, Pappu Tokta Kya Salman Khan",neutral
साधारण उपयोग केवल बार फुल चार्जिंग हमारे टेस्ट पूरे दिन चली ।,Simple use only bar full charging our tests lasted throughout the day.,neutral
"इंटरनल स्टोरेज आगे बंटता , बड़ी कमज़ोरी बन जाती ।",The internal storage would become a big weakness.,negative
मौकों पिता बेटी रिश्तों दर्शाने बात गई ।,The opportunities were talked about showing father and daughter relationship.,neutral
पिछले पांच सालों दौरान एप्पल आईओएस आपरेटिंग बेहतर विकास देखने मिला ।,Apple IOS operating got better development during the last five years.,positive
यदपि गेम्स ज्यादा इस्तेमाल बैटरी अन्य एंड्राइड उपकरणों प्रभावित करेगा |,Although the more used battery will affect other Android devices.,neutral
"जियाओमी एमआई 4आई , एमआईयूआई 6 एंड्रायड 502 चलता ।","Xiaomi Mi 4i, MIUI 6 Android 502 runs.",neutral
बेहतर क्वालिटी वाइड व्यू देने यूजर्स आंखों नुकसान पहुचाती ।,Users would harm the eyes.,positive
कैमरा नही करेगा निराश ।,The camera will not be disappointed.,neutral
एप्पल टीवी जरिए स्ट्रीम किए गए कंटेंट क्वालिटी अच्छी ।,Content quality strengthened through Apple TV good.,positive
कंपनी led टीवी डिस्प्ले खास काम ।,Company LED TV display special work.,positive
"काम , लैपटॉप लेनोवो v580c गर्म , वास्तव शोर मुद्दों ।","Work, laptop Lenovo V580C hot, really noise issues.",negative
आपको पावर रीटर्न काम लाने थोड़ा ज्यादा प्रेस ।,Press you a little more to bring power reading.,negative
फिल्म उपलब्धि विनीत कुमार सिंह गिरीश कुलकर्णी ।,Film achievement Vineet Kumar Singh Girish Kulkarni.,positive
टेबलेट टचस्क्रीन रिस्पोंस काफी अच्छा इस्तेमाल आराम रहता ।,Tablet touchscreen response is quite good use relax.,positive
बोधगया ऐसी सारी संस्थाए करवाती ।,Bodh Gaya would have done all such institutions.,neutral
स्‍मार्टवॉच वजन 45 ग्राम ।,Smartwatch weight 45 grams.,neutral
बेहतर कैमरा स्मार्टफोन जिसमें 8 एमपी मैन कैमरा ऑटोफोकस सोनी बीएसआई सेंसर ।,Better camera smartphone in which 8 MP man camera autofocus Sony BSI sensor.,positive
"हमने जल्दी पता लगाया समस्या दिये गए चार्जर , क्योंकि फोन पीसी कनेक्ट जल्दी चार्ज ।","We found out the problem given quickly, because the phone is charged quickly.",neutral
"मिला हनिकॉम्ब 32 डिवाइस अच्छा , डिवाइस पूरी तैयार गई ।","Got Hunnkomb 32 devices good, the device was fully prepared.",neutral
रिश्ते बहन मालिनी खुद कहानी कहनी ।,Relationship sister Malini herself story story story.,neutral
कारण स्पष्ट लेखक निर्देशक विधा प्रस्तुति प्रति स्पष्ट ।,Reason clear writer director genre presentation per clear.,negative
"सिर्फ स्पीकर ग्रिल , टॉप ब्लैक डिजाइन एलीमेंट ।","Just speaker grill, top black design element.",neutral
अगर एप्लीकेशन्स चलाना आपकी जरूरत फोन अच्छा विकल्प साबित क्योंकि काम उतनी स्पीड काम ।,"If running applications, your phone proves a good option because the work is as much speed work.",positive
केनन 1200डी 1855 लैंस बदौलत शानदार तस्वीरें खींचने सक्षम ।,Cannon 1200d 1855 capable of taking great pictures than than 1855 lenses.,positive
औसत परफार्मेंस उम्मीद खरीद निराश होंगे इससे ज्यादा इससे उम्मीद बेहतर होगा ।,"Average performance hope purchases will be disappointed, this will improve expectation than this.",neutral
पहाड़ी क्षेत्र वजह खूबसूरत दृश्य देखे ।,See beautiful scenes due to the hill region.,positive
"संबंध भेद , विच्छेद संवेद फिल्म स्त्री पुरुष रिश्तों कथित आधुनिकता आए असमंजस कहानी लेकर चलती फिल्म हिंदी फिल्मों घिसे पिटे दृश्यों ऊपरी तौर मजाक उड़ाती , वैसे दृश्यों रमती ।","Relationship distinction, dissected sensing film lady male relationships who came allegedly modernism, moving the moving film Hindi films, Ghisa Pit Scene Scenes Jokes up, like the scenery Ramati.",neutral
यहां गेम खेलना सहज ।,Playing games comfortable here.,positive
मोटोरोला 360 डिवाइस बेस्ट क्योंकि लुक बेहद आकर्षक ।,Motorola 360 device best because the look is extremely attractive.,positive
हुवैई मीडिया पैड बारे सामान्य शिकायत बैटरी बैकअप कम ।,Complain Battery Backup Lower Regarding Huawei Media Pad.,negative
बैटरी लाइफ बात गैलेक्सी टैब 3 बैटरी हमारे लगातार वीडियो प्लेबैक टेस्ट लगभग 65 घंटे चलती ।,Battery Life Baat Galaxy Tab 3 Battery Our frequent video playback tests run for about 65 hours.,neutral
हाई परफॉर्मेंस डिवाइस चलता ।,High performance device run.,neutral
बैहर खेल मैदान 4 अप्रैल शुरू दिवसीय बैगा ओलिंपिक आसपास जिलों अन्य राज्यों बैगा शामिल होंगे ।,"Baihar Sports Grounds starting April 4 will include other states Baiga, Biga Olympic districts.",neutral
टैबलेट वाकई काफी स्लिम सर्वाधिक मोटाई 66 mm ।,Tablet really quite slim the most thickness 66 mm.,positive
इंटरफेस पुराने स्टाइल ।,Interface Old Style.,negative
"हलांकि गैलेक्सी टैब 750 थोड़ा सा मोटा , काफी पतला टेबलेट ।","However, the Galaxy Tab 750 slightly thick, quite thin tablet.",neutral
माॅडल 12 गीगाहर्ट्ज़ क्वाड कोर प्रोसेसर जीबी रैम ।,Model 12 GHz quad core processor GB RAM.,neutral
मुंबई प्राचीनतम स्थल विश्व धरोहर शुमार ।,"Mumbai, the oldest site, the world heritage.",positive
"राजकुमार हिरानी अभिजात जोशी संदेश स्पष्ट अलग अलग भगवान मैनेजर बने स्वामी , बाबा , गुरु , मौलवी पादरी वास्तव डर आतंक फैला उल्लू सीधा ।","Rajkumar Hirani Abhijat Joshi Message clearly became a different different god manager, Swami, Baba, Guru, Maulvi Pastor Really fear terror spread.",neutral
छठे दशक यहां सेना कैम्प निर्माण ।,Army Camp construction here sixth decade.,neutral
"विशेषताओं आसान इंस्टालेशन , साफ़ सुथरा यूजर इंटरफ़ेस , अच्छी आवाज़ स्तर शामिल ।","Characteristics include easy installation, clean and dry user interface, good voice levels.",positive
बैटरी लाइफ़ दिन इस्तेमाल आसान ।,Battery life day easy to use.,negative
हाल प्रेजेन्टेशन दौरान मेरा लैपटॉप समस्या ग्रस्त – डिस्प्ले खराबी ।,My laptop problem suffers during recent presentation - display malfunction.,negative
", रेडिएंट led ब्लैक मॉड्यूल , 144mm बेजल 50001 डायनामिक कंट्रास्ट रेशियो ।",", Radiant LED black module, 144mm bezel 50001 dynamic contrast ratio.",neutral
एपल वॉच खुद सेट इंतजार ।,Apple Watch Waiting Set itself.,neutral
शशांक घोष खूबसूरत तुलना अगर हृषिकेष मुखर्जी खूबसूरत इरादे सोनम कपूर फिल्म देखेंगे निराशा असंतुष्टि होगी ।,"Shashank Ghosh Beautiful Comparison If Hrishikesh Mukherjee will watch beautiful intentions Sonam Kapoor film, disappointment will be dissatisfied.",negative
"उंची पिक्सल घनता कारण , स्क्रीन आँखो सुखकारक पढ़ने वीडीयो देखने अच्छी ।","Causes of high pixel clicking, watching screen eyes pleasant to watch video.",positive
फैबलेट बड़ा बैटरी लगा बिना बैटरी सेविंग मोड एक्टिव किए दिन चल ।,Fablets laughed a big battery without activating the battery saving mode.,neutral
"अब , बजट खरीदने अच्छे स्मार्टफोनो ।","Now, good smartphones to buy budget.",positive
"हिस्से बड़ा स्पीकर ग्रिल , आवाज़ तेज़ ऐसा सोनी वाटरप्रूफ बनाने वज़ह ।","Parts big speaker grill, voice loud to make Sony Waterproof.",negative
फुल साइज यूएसबी 30 पोर्ट मिनी एचडीएमआई ज्यादा प्रोडक्टिव बना देता ।,Full size USB 30 port mini HDMI would make more productive.,positive
उम्दा प्रोडक्ट बावजूद ऐसी खामियां निराशाजनक ।,Such flaws disappointing despite the excellent product.,negative
कीमत मामले तुलना क्योंकि आईफॉन 6 प्लस महंगे वैरिएंट सस्ता ठहराता ।,Price case comparison because iPhon 6 Plus expensive variants would be cheaper.,negative
8 इंच एचडी डिस्पले स्क्रीन 1280 x 800 पिक्सल रेजोल्युशन दी गई ।,8 inch HD display screen 1280 x 800 pixels resolution.,neutral
32 जीबी विस्तारीत मेमरी सपोर्ट करनेवाले मेमरी कार्ड स्लॉट ज्यादा मेमरी जोड़ने पर्याय ।,32 GB Vistarit Memory supporting memory card slots are synonymous to add more memory.,positive
ज्यादातर फंक्शंस परफॉर्मेंस दमदार ।,Most functions performance strong.,positive
हालात परवरिश वर्तमान कारण ।,Current reasons up to the situation.,neutral
फोन ऑटो फोकस ज्यादा वक्त लिया ।,The phone took more time.,negative
फिल्म गीतों फिल्मांकन ध्यान ।,Film songs Filming Meditation.,positive
फिल्म थ्री डी देखने ।,Watch the film 3D.,neutral
हालांकि लगभग लोकप्रिय एप्लीकेशनों सपोर्ट तथा लगभग यूजरों मुद्दा होगा ।,"However, almost popular applications support and almost users will be the issue.",neutral
"बैटरी लाइफ बात हमारे लगातार वीडियो प्लेबैक टेस्ट पूरे ब्राइटनेस लेवल आवाज़ आसुस फोनपैड बैटरी 10 घंटे चलती , काफी शानदार बैटरी परफॉरमेंस बै ।","Battery Life Baat Our Constant Video Playback Test entire brightness level voice Asus phonepad battery runs 10 hours, quite luxurious battery performance.",positive
बार फिल्में पन्नों पर्दे आने बिगड़ जाती ।,Bar movies would have deteriorated.,negative
"टैब 6,000 एमएएच बैटरी लगी ज्‍यादा बेहतर बैटरी बैकप देती ।","The tab would give a 6,000 mAh battery more better battery backup.",neutral
जियाओमी कॉल गई परेशानी महसूस नही ।,Ziaomi calls did not feel troublesome.,neutral
जेनफोन 5 काफी सिम्पल बावजूद डिवाइस ऊबेंगे क्योंकि बारी बारी बैक कवर बदलकर लुक बदल ।,The Genfone 5 quite simple despite the simple simple device will be bored as the turn changes by changing the back cover.,neutral
मोटो 360 स्मार्टवॉच दिखने काफी कूल गोल आकार डायल डिज़ाइन गूगल लेटेस्ट एंड्रॉयड प्लेटफार्म कंज्यूमर्स ज्यादा आकर्षित ।,Moto 360 Smartwatch looking quite cool round shape dial design Google latest Android platform consumers attracted more.,positive
"41mah बैटरी लगी , करीब 30 दिन चल सकती ।",41mAh battery can run for about 30 days.,neutral
द्वारका हिंदुओं चार धामों सप्त पुरियों गुजरात द्वारिकापुरी मोक्ष तीर्थ रूप जानी जाती ।,Dwarka Hindus Char Dham Sapta Puris are known as Gujarat Dwarkapuri Moksha Tirtha.,positive
अन्य कलाकारों राजकुमार राव गन्ना किसान सोनू सहरावत भूमिका अभिभूत ।,Other artists Rajkumar Rao Sugarcane Farmer Sonu Sehrawat's role overwhelmed.,neutral
डिवाइस उपरी हिस्से माइक्रो एसडी कार्ड स्लॉट सिम कार्ड स्लॉट ।,The device upper part micro SD card slot sim card slot.,neutral
"नयापन किरदार पीके , मिल जादू रूप आ चुका ।","Newly character PK, mill magic form has come.",positive
अलावा लैपटॉप डॉल्‍बी एडवांस ऑडियो वी2 तकनीक दी गई साउंड क्‍वलिटी बढा देती ।,"Apart from this, the laptop dolly advanced audio V2 technology would increase the sound quality.",positive
नदियों पर्वत पहाड़ियों घिरा अनोखा पर्यटन स्थल केरल हमेशा सैलानियों खींचता ।,The unique tourist destination surrounded by rivers mountain hills Kerala always draws tourists.,positive
काम हजारों लोग लगे रोजाना करीब 2 लाख लोगों लंचबॉक्स सेवा प्रदान ।,"Thousands of people started working daily, about 2 lakh people provided lunchbox service.",neutral
101 इंच एक्सडब्लूवीजीए मल्टी टच आईपीएस डिस्पले स्क्रीन जीरो एयर गेप तकनीक दी गई ।,101 inch XWVGA Multi Touch IPS display screen zero air gap technology was given.,neutral
सैमसंग गैलेक्सी टैब 3 स्पेसिफिकेशन टैब 2 तुलना ज्यादा सुधार ।,Samsung Galaxy Tab 3 Specification Tab 2 Comparison improvement.,neutral
स्क्रीन बॉडी धब्बे लगने संभावना,Screen body spots likely to be,negative
एप आपके हस्ताक्षर छोटी पिक्चर आपके चुने डॉक्यूमेंट फिक्स देती ।,The app gives your signature small picture your chosen document fixing.,neutral
"अब 1007 परिसंपत्तियों वल्र्ड हेरिटेज घोषित , जिनमें 31 ट्रांसबाउंड्री , 2 डिलिस्टेड , 46 इनडेंजर , 779 कल्चरल , 197 नेचुरल , 31 मिक्स्ड 161 स्टेट्स पार्टीज ।","Now 1007 assets were declared World Heritage, including 31 transboundry, 2 delisads, 46 indenners, 779 cultural, 197 Natural, 31 Mixed 161 States parties.",neutral
"नए मॉडल ज्‍यादा आईएसओ रेंज दी गई जिससे लो लाइट कंडीशन अच्‍छी फोटोग्राफी कैमरे 100 12,800 आईएसओ रेंज सेट सकती ।","The new model was given more ISO range so that low light condition good photography cameras 100 can set 12,800 ISO range.",positive
मैकबुक नया आया संस्करण अब पतला मैकबुक जिसकी मोटाई महज 131 एमएम ।,MacBook New Aya Edition is now a thin MacBook with a thickness of just 131 mm.,positive
"इसको बनाया , बड़े आरामदाक तरीके हाथ पकड़ ।","Made it, holding hands and holding hands.",positive
जिसका नुकसान अगर फिल्म देख गेम खेल स्पीकर्स आपके हाथों ढक जाते ।,Whose disadvantage if the film watching game game speakers would be covered by you.,negative
इसलिए फोन टैबलेट संगम यानी फैबलेट कह ।,Hence the phone tablet is Sangam i.e. Fablet.,neutral
"मिलाकर , प्रदर्शन औसतन , जबकि हम डिवाईस काफी उम्मीद रखते ।","Including, the performance on average, while we expect the device quite high.",neutral
"एफएम रेडियो , ब्लूटूथ कनेक्टीविटि , कैमरा मौजूद ।","FM radio, Bluetooth connection, camera present.",neutral
लैपटाप 13 मेगापिक्सल वेबकैम 3 इन वन कार्ड स्लाट ।,Laptop 13 megapixel webcam 3 in forest card slot.,neutral
लेनोवो नए स्मार्टफोन 15 गीगाहर्त्ज ऑक्टाकोर प्रोसेसर 2 जीबी रैम दिए गए जिससें प्रोसेसिंग परफोर्मेंश अच्छी ।,Lenovo new smartphone 15 GHz Octacore Processor 2 GB RAM was given which good processing performance.,positive
सेरेब्रल पालसी वजह किरदार गतिविधियों आने वाली स्वाभाविक भंगिमाओं जज्ब उन्होंने उसकी मानसिक क्षमताओं सुंदर तरीके जाहिर ।,"Cerebral Palasi causes character activities that came out of the natural gestures, he expressed his mental abilities beautiful.",positive
"गोवा भारत ऐसा टूरिस्ट स्पॉट , जहां बारह महीने हलचल रहती ।",Goa Bharat is a tourist spot where there was a twelve months.,positive
यहां दौडऩे वाली कोंकण रेलवे सफर खूबसूरत एहसास होगा ।,The Konkan railway journey running here will be beautiful.,positive
फीचर्स प्रोडक्टिविटी कमतर एहसास देते ।,Features would give less productivity.,negative
अभिनय बारे बात कही सकती ।,Can talk about acting.,neutral
वास्तविक इस्तेमाल मीडियापैड 10 लिंक परफॉरमेंस काफी अच्छा ।,Real use mediapad 10 link performance quite good.,positive
"कीमत रेंज डिस्प्ले , प्रतिद्वंदियों बेहतर ।","Price range display, rivals better.",positive
कीमत 249 डॉलर ।,Price $ 249.,neutral
3220 एमएएच बैटरी लगी फुल चार्ज 24 घंटे लगेंगे ।,The 3220 mAh battery full charge will take 24 hours.,neutral
टेबलेट वाय फाय तकनीक लैस तथा बैटरी एकबार पूरी चार्ज 8 घंटे चलती ।,The tablet Y fi technology equipped and the battery would run 8 hours.,neutral
ऑप्शन खोलने मुंह बोलकर कमांड देते फट काम देता ।,"Opening the option, he would give a ruckus by speaking the command.",positive
"प्रकृति बीच स्थित शहर क्राईस्ट चर्च , मंकी पॉइंट , कसौली भट्टी गोरखा फोर्ट किला जाना जाता ।","The city was known as Christ Church, Monkey Point, Kasauli Bhatti Gorkha Fort Fort in Prakriti Beach.",positive
वास्तविक इस्तेमाल एक्सपीरिया टेबलेट जेड परफॉरमेंस शानदार रहता ।,Real use Xperia Tablet Z performance would be fantastic.,positive
डिस्प्ले रिफ्लेक्टिव जिससे इस्तेमाल काफी आरामदेह रहता ।,The display reflected which would make the use quite comfortable.,positive
