text,Translated,experience
एप्पल नए 15 इंच लैपटॉप 16 GB इंटरनल मेमोरी 2.2 GHz क्वाड कोर इंटेल कोर प्रोसेसर ।,Appall new 15 inches [16 cm] in diameter 16-incapinary memory 2.2 GHz Quad per Terli.,neutral
"10.1-इंच डिस्प्ले रेजोल्यूशन 1920 x 1200 पिक्सेल , 224 पीपीआई पिक्सेल डेंसिटी देता ।","The 10.1-Inclusion display resolution would give the 1920 x 1200 pixels, 224 PMP pixels.",neutral
इन किट तहत फिल्ममेकर एनिमेटर - हिसाब फोटो मूवी एडिटिंग सकत ।,"As a result, the filmmakers will be able to see how much they can do to reduce the risk of their risk of heart attack.",neutral
"यहां इनवेन्ट इट , बिल्ड इट , क्रिएट इट , लिव इट , डिस्कवर इट , एक्सप्लोर इट , स्प्लैश इट अलग - अलग प्ले एरियाज ।","Here init, build it, design it, design it, Liv it, disk it, Plasma, separate it.",neutral
लंबा घुमावदार हस्ताक्षर वालों यहां हस्ताक्षर ड्रॉ परेशानी भरा ।,There was a great crowd of sign - language signers.,negative
हिमाचल प्रदेश प्रसिद्ध पर्यटन स्थलों दर्रे लाहोल स्पीति जिलों प्रवेश द्वार जाता ।,"In the 19th century, for example, a few years after World War II, the New World Translation of the Christian Greek Scriptures was released in 1819, it was reported that the New World Translation of the Christian Greek Scriptures had been completed in 159 C.E.",neutral
फिल्म भावभूमि नई अपरिचित ।,The movie scene was new.,positive
चारमीनार भव्य सुंदरता कारण बड़ी संख्या पर्यटकों ओर खींचता ।,Fourminated beauty causes great numbers to draw visitors.,positive
गैलेक्सी नोट 800 लॉक स्क्रीन सिंपल अच्छा ।,Gadley note 800 locker screen quality.,positive
' हैदर ' खोज नरेंद्र झा ।,""" Heather's search did not go unnoticed. '",neutral
"अन्दर लगी 3120 एमएएच बैटरी , पूरे डेढ़ दिन चलती ।","In the middle, 3120sh battery ran, a day and a half.",neutral
"बैद्यनाथ धाम , बाबा धाम अन्य नामों जाना जाने वाला झारखंड जिला शहर देवघर पवित्र हिंदू तीर्थो ।","Badmannath Görnnath, an old dwelling-house known to be other names, live in the city of Home Deatat, the Holy Hindu.",positive
प्लास्टिक बना बैक पैनल दिखने काफी प्रीमियम लगता याद दिलाता सैमसंग Galaxy Note 4 ।,Several examples of plastic back blocking sound premium seemed to be a great reminder of Sam Young Gauyxy 4.,positive
"कनेक्टिवीटि 3जी , सिम , वाइ - फाइ , ब्लू टूथ विकल्प ।","Connect 3G, Simp, Y -, blue tuth option.",neutral
खूबी चलते फेबलेट रूप काम लिया ।,"In time, however, he became a member of the Governing Body of Jehovah's Witnesses in Brooklyn, New York, U.S.A.",positive
आपको यहा आने जाने मन करेगा ।,You will have to leave.,positive
"जेम्स वान , सॉ डायरेक्टर ।","James Van, director of the U.S.",neutral
आपके आइफोन सीधे कनेक्ट जाएगी ।,Your phone will connect directly.,neutral
आजादी यहां अरूणाचल प्रदेश प्रशासनिक केन्द्र स्थापना गई ।,Today the Abhora was established in this area with the administrative center.,neutral
"इंडोर डायमेंशन 470 mm चौड़ाई , 355 mm हाइट 495 mm गहराई ।","Indication 470 mm width, 355 mm depth.",neutral
फोन सिर्फ फोन आकार देखते आसानी फॅब्लेट कहलाने पात्र ।,The only phone size is easy to be called hypott.,neutral
बैट्री चार्ज ज्यादा समय लेती ।,It would take much time.,negative
अधिकांश यूआर्इ पूर्ववर्तियों समान तथा हर चीज ठीक काम करती ।,Most of the preceding ones would do the right thing.,neutral
"एन्वी डीवी6 वज़न 2.4 किलोग्राम , 15-इंच बड़े डिस्प्ले वाली मशीन वज़न ज्यादा ।","An AV DV6 pounds 2.4 kg, 15-200 - year - old machine weight more.",neutral
"टैबलेट सात इंच स्क्रीन , एंड्रायड 4.1 जैली बीन आपरेटिंग सिस्टम ।","Researchers are seven inches [5 cm] screen, and Andred 4.1 zleening your operating system.",neutral
1.9 अथवा 1.6 गीगीहर्टज़ प्रोसेसर ।,1.9 or 1.6 geographers processor.,neutral
माइक्रोसॉफ्ट सरफेस 3 10.8 इंच क्लियरटाइप फुल HD प्लस डिस्प्ले स्क्रीन ।,Microsoft siris 3 10.8 inches C.E. Full HD plus Display Screen.,neutral
"जरूर , 1जीबी रैम कारण अच्छा , प्रोसेसर ग्राफिक्स कमियों बेकार ।","Very good because of the 1GB RAM, Processor graphics worthless.",negative
टेक्स्ट मैसेज क्विक रिप्लाई दे ।,Reconstruction the text text.,neutral
सिम सपोर्ट ।,Example support.,neutral
"कमी , सिर्फ 16 जीबी आतंरिक स्टोरेज ।","Depiction, only 16 glaciers.",negative
"जेड1 कॉम्पैक्ट तुलना , थोड़ा सुधार खास तौर शॉट लेने टाइम मामले , कैमरा एप्प खुलने मामले ।","Z1 compact comparison, a little improved time - especially when taking shots, camera Apping case.",positive
बैजू मंदिर नाम जाना जाता ।,"In time, the temple became the center of pure worship.",neutral
अब 360कैम नाम छोटा सा पावरफुल कैमरा आ चुका पहली नजर आपका मन मोह ।,Your mind now has come to the size of a small powered camera.,positive
अगर मौसम गोवा जाने प्लान बना वहां वाइब्रेंट मानसून फेस्टिवल मजा ले ।,"If the weather plans were to take place in Goa, we would have enjoyed the company of Wabrant Mantzil.",positive
जी3 एलजी हाइली कस्टमाइज्ड यूआई जी3 स्टाइलस फैबलेट प्रयोग उपयोग बेहद आसान ।,Using g3 Elji Highly Customed U3 style stringed hoblet.,positive
चांदी दरवाजे वाली दरगाह निर्माण चरणों जहां संत मूल कब्र संगमरमर ।,A sacrifice at the silver door was built in the first century C.E. where the apostle's original grave came to be.,neutral
टेबलेट स्पीकर आवाज़ साधारण ।,The speaker's voice is simple.,neutral
इन बातों बोर इतने इन कारों ड्रोन मिसाइले दागी जाती ।,These things would be so bad that the cars drones were shot.,neutral
हालिया रिलीज फिल्म ' सैन एंड्रियास ' ऐसी फिल्म ।,A recent release film such as San and Alexandria.,neutral
कार्बन Karbonn अच्छा स्थापित ब्रांड तुलना तमाम नये प्रवेशकों जिनसे टैबलेट प्रतिस्पर्धा करती अच्छी स्थापित सेल एंड सर्विस नेटवर्क जुड़ा ।,Karbon Karonnnn's well-known brands are all the new entries that have established the cell and the service network.,neutral
दुःख बात फोन एंड्रॉयड जिंजरब्रेड ऑपरेटिंग सिस्टम पुराना वर्जन - एंड्रॉयड 2.3.1 लगा ।,"Sad to say, a phone phone and reviewing systems that were currently old - and - end 2.3.1.1 began.",negative
' वेलकम 2 कराची ' उसका नमूना ।,He was a model of 'Theylga 2 News. ',negative
मोटो 360 साधारण घड़ियों दिखता ।,Motto 360 appears simple.,neutral
बांधवगढ़ अभयारण्य मध्य प्रदेश प्रसिद्ध राष्ट्रीय उद्यानों ।,The famous national parks are the center of the contravenous Apocrypha.,positive
हमारे हिसाब कीमत अन्य विकल्पों जांच खरीदने मन बनाएं बेहतर होगा ।,Our worth would be better to buy further options.,negative
"अगर आपको बड़ा , अच्छा दिखनेवाला डिस्प्ले चाहिए पॅनासोनिक पी81के बारे सोच ।","If you have a large display, think of the pa·an·rou·siʹa P81.",positive
"' बार मैंने कमिटमेंट दी , सुनता ' ... पर्दे सलमान खान बोले पॉपुलर संवाद ' तनु वेड्स मनु रिटर्न्स ' तवेमरि मनोज शर्मा उर्फ मनु अंदाज फेरबदल बोलते पप्पू टोकता क्या सलमान खान ?","' Barr, listen' he said, 'Sovereign Wends return' sympathy: 'Do you want me to explain my sin to you?",neutral
साधारण उपयोग केवल बार फुल चार्जिंग हमारे टेस्ट पूरे दिन चली ।,Simple use lasted only a few days.,neutral
"इंटरनल स्टोरेज आगे बंटता , बड़ी कमज़ोरी बन जाती ।",Interpulsion further became a serious weakness.,negative
मौकों पिता बेटी रिश्तों दर्शाने बात गई ।,"In time, the father became involved in child relations.",neutral
पिछले पांच सालों दौरान एप्पल आईओएस आपरेटिंग बेहतर विकास देखने मिला ।,"Over the last five years, Eps ITIS had to see better growth.",positive
यदपि गेम्स ज्यादा इस्तेमाल बैटरी अन्य एंड्राइड उपकरणों प्रभावित करेगा |,The fixed game will affect battery other and complex devices,neutral
"जियाओमी एमआई 4आई , एमआईयूआई 6 एंड्रायड 5.0.2 चलता ।","Jiimi MI 4I, MIUI 6 and Zed 5.0.2 went on.",neutral
बेहतर क्वालिटी वाइड व्यू देने - यूजर्स आंखों नुकसान पहुचाती ।,The better quality view - giving eyes would harm the better.,positive
कैमरा नही करेगा निराश ।,The camera will not be disappointed.,neutral
एप्पल टीवी जरिए स्ट्रीम किए गए कंटेंट क्वालिटी अच्छी ।,The quality associated with the Apple TV is a good quality.,positive
"काम , लैपटॉप लेनोवो v580c गर्म , वास्तव शोर मुद्दों ।","Work, railway Lennovo v580c hot, real noise issues.",negative
आपको पावर रीटर्न काम लाने थोड़ा ज्यादा प्रेस ।,Press a little longer to get you to power retard work.,negative
फिल्म उपलब्धि विनीत कुमार सिंह गिरीश कुलकर्णी ।,"In the United States, for example, about half a million young lions were found in the United States alone, and in the United States alone, more than half a million youths were killed.",positive
टेबलेट टचस्क्रीन रिस्पोंस काफी अच्छा इस्तेमाल आराम रहता ।,Don't be afraid to say no. Don't be afraid to talk to your parents about what you've read.,positive
बोधगया ऐसी सारी संस्थाए करवाती ।,It seemed that all such organizations would make up the world.,neutral
स्‍मार्टवॉच वजन 45 ग्राम ।,Squirt weight weight 45 grams [45 grams] of weight.,neutral
"हमने जल्दी पता लगाया समस्या दिये गए चार्जर , क्योंकि फोन पीसी कनेक्ट जल्दी चार्ज ।","We quickly identified the problem, for phone PC quickly charged.",neutral
"मिला हनिकॉम्ब 3.2 डिवाइस अच्छा , डिवाइस पूरी तैयार गई ।","Palobym 3.2 device well, the device was completed.",neutral
रिश्ते बहन मालिनी खुद कहानी कहनी ।,The relationship between sister Mali would say the story herself.,neutral
कारण स्पष्ट लेखक - निर्देशक विधा प्रस्तुति प्रति स्पष्ट ।,The reason is clear writer - directorial presentation.,negative
"सिर्फ स्पीकर ग्रिल , टॉप ब्लैक डिजाइन एलीमेंट ।","Only speaker Grey, top black design remnant.",neutral
अगर एप्लीकेशन्स चलाना आपकी जरूरत फोन अच्छा विकल्प साबित क्योंकि काम उतनी स्पीड काम ।,"Your phone may prove to be a good option if you run the Apprement Plans, for work is done as fast as possible.",positive
केनन 1200डी 18-55 लैंस बदौलत शानदार तस्वीरें खींचने सक्षम ।,Kenson was able to draw wonderful images with 1200D 18-55.,positive
1080पी एचडी विडियो प्लेबैक ।,1080PH HD Video Playbacks.,positive
औसत परफार्मेंस उम्मीद खरीद निराश होंगे इससे ज्यादा इससे उम्मीद बेहतर होगा ।,It would be better to hope for the average patient than to hope for it.,neutral
पहाड़ी क्षेत्र वजह खूबसूरत दृश्य देखे ।,The mountain range caused beautiful sights.,positive
"संबंध भेद , विच्छेद संवेद फिल्म स्त्री - पुरुष रिश्तों कथित आधुनिकता आए असमंजस कहानी लेकर चलती फिल्म हिंदी फिल्मों घिसे - पिटे दृश्यों ऊपरी तौर मजाक उड़ाती , वैसे दृश्यों रमती ।","The relationship between prejudice, misunderstanding film - man and woman having a so - called modern - day movie story, took on a joke film.",neutral
यहां गेम खेलना सहज ।,It's easy to play games here.,positive
मोटोरोला 360 डिवाइस बेस्ट क्योंकि लुक बेहद आकर्षक ।,Motoroola 360 device Bay because it is very appealing to look.,positive
हुवैई मीडिया पैड बारे सामान्य शिकायत बैटरी बैकअप कम ।,The general complaint battery backup for the West Media Padgett.,negative
बैटरी लाइफ बात गैलेक्सी टैब 3 बैटरी हमारे लगातार वीडियो प्लेबैक टेस्ट लगभग 6.5 घंटे चलती ।,Battery Life-saf tab 3 battery test nearly 6.5 hours.,neutral
हाई परफॉर्मेंस डिवाइस चलता ।,High Consumination device went on.,neutral
बैहर खेल मैदान 4 अप्रैल शुरू दिवसीय बैगा ओलिंपिक आसपास जिलों अन्य राज्यों बैगा शामिल होंगे ।,Bad game field 4 begins April 1st-day bag with other Kingdom bags around Olympusic.,neutral
टैबलेट वाकई काफी स्लिम सर्वाधिक मोटाई 6.6 mm ।,Researchers are really quite much like the most common fat in the megam.6 mm.,positive
इंटरफेस पुराने स्टाइल ।,Interface is the old style.,negative
"हलांकि गैलेक्सी टैब 750 थोड़ा सा मोटा , काफी पतला टेबलेट ।",The best way to do this is to keep a tight grip on your mind and heart. The best way to do this is to keep your mind focused on the positive aspects of your life.,neutral
माॅडल 1.2 गीगाहर्ट्ज़ क्वाड - कोर प्रोसेसर जीबी रैम ।,Maandel 1.2 Giggarts Quad - Corr procession Gb RAM.,neutral
मुंबई प्राचीनतम स्थल विश्व धरोहर शुमार ।,"Mumbai, an ancient world heritage known as Mumbai, is a major part of the world.",positive
"राजकुमार हिरानी अभिजात जोशी संदेश स्पष्ट अलग - अलग भगवान मैनेजर बने स्वामी , बाबा , गुरु , मौलवी पादरी वास्तव डर आतंक फैला उल्लू सीधा ।","Prince Solomon's decisive message became clear to the owner of a clear god manager, a boy, a master, a priest, a priest, a priest who is really a terrorist, just straight ahead of him.",neutral
छठे दशक यहां सेना कैम्प निर्माण ।,The sixth decade served as an army camp here.,neutral
"विशेषताओं आसान इंस्टालेशन , साफ़ सुथरा यूजर इंटरफ़ेस , अच्छी आवाज़ स्तर शामिल ।","Quality is simple intrusion, clean user interface, including good noise level.",positive
बैटरी लाइफ़ दिन इस्तेमाल आसान ।,It is easy to use a battery life day.,negative
हाल प्रेजेन्टेशन दौरान मेरा लैपटॉप समस्या ग्रस्त – डिस्प्ले खराबी ।,"During the recent presentation, my Thinker's voice flashing through the light of my defense shows.",negative
", रेडिएंट LED ब्लैक मॉड्यूल , 14.4mm बेजल 5000:1 डायनामिक कंट्रास्ट रेशियो ।",", BAD LED Black module, 14.4mm BLUGE 5:1000: Compulsive contrasts.",neutral
एपल वॉच खुद सेट इंतजार ।,The Apple Watch Tower himself awaited the setting.,neutral
शशांक घोष ' खूबसूरत ' तुलना अगर हृषिकेष मुखर्जी ' खूबसूरत ' इरादे सोनम कपूर फिल्म देखेंगे निराशा असंतुष्टि होगी ।,"A wise proverb says: ""The beauty of the lips is what makes the eyes shine, and what makes the eyes shine is what makes the eyes shine, and what makes the eyes shine, what makes the eyes shine, what makes the eyes shine, what makes the eyes shine, what makes the thoughts shine, what makes the thoughts shine, what makes the thoughts shine. """,negative
फैबलेट बड़ा बैटरी लगा बिना बैटरी सेविंग मोड एक्टिव किए दिन चल ।,Beeblett ran day - to - day with large battery battery without leaving a battery.,neutral
"अब , बजट खरीदने अच्छे स्मार्टफोनो ।","Now, buy a budget.",positive
"हिस्से बड़ा स्पीकर ग्रिल , आवाज़ तेज़ ऐसा सोनी वाटरप्रूफ बनाने वज़ह ।","The large speaker Grigle, the loud sound, makes such a stream.",negative
फुल साइज यूएसबी 3.0 पोर्ट मिनी एचडीएमआई ज्यादा प्रोडक्टिव बना देता ।,Full sanity USB 3.0 port HMI would make it more productive.,positive
उम्दा प्रोडक्ट बावजूद ऐसी खामियां निराशाजनक ।,"Despite the best of nuclear weapons, such lions seem to be hopeless.",negative
कीमत मामले तुलना क्योंकि आईफॉन 6 प्लस महंगे वैरिएंट सस्ता ठहराता ।,The price case compares because IVAN 6 plus PIV will pay the cheapest price.,negative
8 इंच एचडी डिस्पले स्क्रीन 1280 x 800 पिक्सल रेजोल्युशन दी गई ।,8 Infection screen was provided for 1280 x 800 pixels.,neutral
32 जीबी विस्तारीत मेमरी सपोर्ट करनेवाले मेमरी कार्ड स्लॉट ज्यादा मेमरी जोड़ने पर्याय ।,32 GB's Extension Memeri card slots adding more amorous support.,positive
हालात परवरिश वर्तमान कारण ।,The present reason for setting things up.,neutral
फोन ऑटो फोकस ज्यादा वक्त लिया ।,The phone focused more than once.,negative
फिल्म थ्री डी देखने ।,The film was the nearest D.,neutral
हालांकि लगभग लोकप्रिय एप्लीकेशनों सपोर्ट तथा लगभग यूजरों मुद्दा होगा ।,"However, nearly the popular Apocryphals support and may be the public theme.",neutral
"बैटरी लाइफ बात हमारे लगातार वीडियो प्लेबैक टेस्ट पूरे ब्राइटनेस लेवल आवाज़ आसुस फोनपैड बैटरी 10 घंटे चलती , काफी शानदार बैटरी परफॉरमेंस बै ।","Battery Life Tests Our ongoing video slideshow test ran the sound sympathy for 10 hours, quite glorious battery left.",positive
बार फिल्में पन्नों पर्दे आने बिगड़ जाती ।,Sometimes movies would cause damage to the surroundings.,negative
"टैब 6,000 एमएएच बैटरी लगी ज्‍यादा बेहतर बैटरी बैकप देती ।","A long time before the tab had arrived, a better battery would blow back.",neutral
स्टॉक ऍण्ड्रॉइड यूआई ।,"The U.S. president of the United States, Dr.",positive
हिंदी फिल्मों आम दर्शक फाइंडिंग फैनी अपेक्षित आनंद उठा सकेंगे ।,"The U.S. president of the Watch Tower Society wrote: ""It's not always easy to talk to people about sex, but it's not easy to talk to them about sex. """,positive
जियाओमी कॉल गई परेशानी महसूस नही ।,It is not the problem called Jiyomi.,neutral
जेनफोन 5 काफी ' सिम्पल ' बावजूद डिवाइस ऊबेंगे क्योंकि बारी - बारी बैक कवर बदलकर लुक बदल ।,Sound phone 5 is much 'Spack'because the device will be bored because turn back and look over.,neutral
"41mAh बैटरी लगी , करीब 30 दिन चल सकती ।",41% of batterys could run about 30 days.,neutral
द्वारका : हिंदुओं चार धामों सप्त पुरियों गुजरात द्वारिकापुरी मोक्ष तीर्थ रूप जानी जाती ।,Taca: The Hindu four - story residences would be known as the Vegetable Gate.,positive
अन्य कलाकारों राजकुमार राव गन्ना किसान सोनू सहरावत भूमिका अभिभूत ।,Other artist's prince Rawnatgarna farmers experienced the role of Sou tungman.,neutral
डिवाइस उपरी हिस्से माइक्रो एसडी कार्ड स्लॉट सिम कार्ड स्लॉट ।,The device top area is a microsed card slot slot.,neutral
"नयापन किरदार पीके , ' मिल ' जादू रूप आ चुका ।","The new character pke, 'was found,'magic form had come.",positive
अलावा लैपटॉप डॉल्‍बी एडवांस ऑडियो वी2 तकनीक दी गई साउंड क्‍वलिटी बढा देती ।,"As a result, however, the sound system would be more complex and more complex than any other form of computer technology.",positive
नदियों पर्वत - पहाड़ियों घिरा अनोखा पर्यटन स्थल केरल हमेशा सैलानियों खींचता ।,Rivers - surrounded by hills - usually transporting tourists to Kerala.,positive
काम हजारों लोग लगे रोजाना करीब 2 लाख लोगों लंचबॉक्स सेवा प्रदान ।,Working hundreds of thousands of people gave some 2 million lunchbox service.,neutral
10.1 इंच एक्सडब्लूवीजीए मल्टी - टच आईपीएस डिस्पले स्क्रीन जीरो एयर गेप तकनीक दी गई ।,10.1 Indicative X-Zows Ex - Touch Eye Screen With Power Gap technology was provided.,neutral
सैमसंग गैलेक्सी टैब 3 स्पेसिफिकेशन टैब 2 तुलना ज्यादा सुधार ।,Samander's computer tab 3 Space Tabser than 2 improves.,neutral
स्क्रीन बॉडी धब्बे लगने संभावना,Chance of screen body blocking,negative
एप आपके हस्ताक्षर छोटी पिक्चर आपके चुने डॉक्यूमेंट फिक्स देती ।,The Ap would have fixed your signature a little pickup for you.,neutral
"अब 1007 परिसंपत्तियों वल्र्ड हेरिटेज घोषित , जिनमें 31 ट्रांसबाउंड्री , 2 डिलिस्टेड , 46 इनडेंजर , 779 कल्चरल , 197 नेचुरल , 31 मिक्स्ड 161 स्टेट्स पार्टीज ।","Now 1007 - year - old Jennings announced 31 Translucents, 2 Translucent diuretics, 779 Intributional, 197 B.C.E., 31 mixed 161 State gathering.",neutral
"नए मॉडल ज्‍यादा आईएसओ रेंज दी गई जिससे लो लाइट कंडीशन अच्‍छी फोटोग्राफी कैमरे 100 12,800 आईएसओ रेंज सेट सकती ।","The new model was given 11: 00 p.m., so that the L.A. light test will set 100 12,800 ISOON.",positive
मैकबुक नया आया संस्करण अब पतला मैकबुक जिसकी मोटाई महज 13.1 एमएम ।,Macbook is now a new edition with a width of 13.1 MM.,positive
बाघों रूबरू सही जगह ।,The tigers are the right place.,positive
समुद्रतल 1300 मीटर ऊंचाई स्थित काठमांडू शहर मंदिरों अलावा देखने ।,"By the end of the 18300 - foot - high [300 m] sky, the city of Naples, located at the foot of the sea, saw the ruins of temples.",positive
जिसका नुकसान अगर फिल्म देख गेम खेल स्पीकर्स आपके हाथों ढक जाते ।,"If the movie games were to be kept in your hands, you would have been exposed to the dangers.",negative
इसलिए फोन टैबलेट संगम - यानी फैबलेट कह ।,"Therefore, say the phone chips - that's why it's not so late.",neutral
"मिलाकर , प्रदर्शन औसतन , जबकि हम डिवाईस काफी उम्मीद रखते ।","In addition, on an average, while we look forward to the deoxy.",neutral
"एफएम रेडियो , ब्लूटूथ कनेक्टीविटि , कैमरा मौजूद ।","FM radio, blue connectivity, is present.",neutral
लैपटाप 1/3 मेगापिक्सल वेबकैम 3 इन वन कार्ड स्लाट ।,Lazatro 1/3 Megaga dealt with 3 in these forest cards.,neutral
लेनोवो नए स्मार्टफोन 1.5 गीगाहर्त्ज ऑक्टाकोर प्रोसेसर 2 जीबी रैम दिए गए जिससें प्रोसेसिंग परफोर्मेंश अच्छी ।,"Lavo Newphone 1.5 GBROCKOCHCKOCKOCKOCKOCKOCKOCKODODCKODCKODOD, given 2 GB RAMQOCHOCHODHODCK ON Processing.",positive
"गोवा भारत ऐसा टूरिस्ट स्पॉट , जहां बारह महीने हलचल रहती ।","Goa, India, was a tourist spot with 12 months of turmoil.",positive
यहां दौडऩे वाली कोंकण रेलवे सफर खूबसूरत एहसास होगा ।,It would be a beautiful journey by the flight of the trailing railway station.,positive
फीचर्स प्रोडक्टिविटी कमतर एहसास देते ।,The features would give the prodictivity a slow feeling.,negative
अभिनय बारे बात कही सकती ।,A word could be spoken of as acting.,neutral
वास्तविक इस्तेमाल मीडियापैड 10 लिंक परफॉरमेंस काफी अच्छा ।,Real use mediums are much better at 10 links.,positive
' खामोशियां ' लोकेशन सुंदर ।,""" The silences'are beautiful.",positive
कीमत 249 डॉलर ।,The price for 249 dollars.,neutral
समझौते करेंगे कीमत पूरी उचित माइक्रोमैक्स अब बनाये स्मार्टफोनो यूरेका आसानी अच्छे स्मार्टफोन ।,"According to The New York Times, ""in the United States alone, 1 out of every 3 people in the world will be infected with HIV, "" reports The New York Times.",positive
3220 एमएएच बैटरी लगी फुल चार्ज 24 घंटे लगेंगे ।,3220 MAD batterys will take up the full - time charge 24 hours.,neutral
टेबलेट वाय - फाय तकनीक लैस तथा बैटरी एकबार पूरी चार्ज 8 घंटे चलती ।,Tablet Y - fal technology equipped and battery run eight hours a single charge.,neutral
ऑप्शन खोलने मुंह बोलकर कमांड देते फट काम देता ।,The command would burst in on the lips.,positive
